Name,Position,Nat,Height,Age,Tck W,Tck R,Tck A,Shot/90,ShT/90,ShT,Shots,Svt,Svp,Svh,Ps C/90,Ps C,Ps A/90,Pas A,Off,Gl Mst,K Tck,K Ps/90,K Pas,K Hdrs,Int/90,Itc,Hdr %,Hdrs W/90,Hdrs,Drb,Dist/90,Distance,Cr C,Cr C/A,Cr A,CCC,Ch C/90,Asts/90,Aer A/90,Apps,Gls,Ast,xG,PoM,Pas %,Tck,DrbPG,Shot %,Yel,Red,Av Rat,Hdrs A,Mins,Club,Preferred Foot
Gianfranco Gazzaniga,GK,ECU,"184,00","32,00","3,00","0,38","0,00","0,00","0,00","0,00","0,00","22,00","46,00","85,00","11,61","441,00","22,45","853,00","0,00","1,00","1,00","0,13","5,00","0,00","0,26","10,00","0,00","0,00","0,00","0,00","44 778,00",220.4,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","38,00","0,00","0,00","0,00","1,00","0,52","0,08","0,00","0,00","0,00","0,00","6,82","0,00","3 420,00",Oviedo,Right
Unai Etxebarria,GK,ESP,"188,00","29,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Oviedo,Right
Tachi,D (C),ESP,"184,00","28,00","84,00","0,82","0,00","0,17","0,06","2,00","6,00","0,00","0,00","0,00","24,09","843,00","27,26","954,00","1,00","3,00","23,00","0,06","2,00","89,00","1,54","54,00","0,78","3,06","107,00","0,00",10.0,349.3,"0,00","0,00","2,00","0,00","0,00","0,06","3,94","35,00","0,00","2,00","0,30","0,00","0,88","2,40","0,00","0,33","12,00","0,00","6,79","138,00","3 150,00",Oviedo,Right
Pablo Bobadilla,D (C),ESP,"187,00","29,00","1,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","0,00","2,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0.8,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",0 (1),"0,00","0,00","0,00","0,00","1,00","18,00","0,00","0,00","0,00","0,00","0,00","0,00","5,00",Oviedo,Right Only
Retu,D (RC),ESP,"185,00","24,00","53,00","0,74","0,00","0,44","0,22","6,00","12,00","0,00","0,00","0,00","21,16","581,00","24,08","661,00","0,00","2,00","17,00","0,00","0,00","128,00","1,27","35,00","0,78","4,59","126,00","0,00","44 571,00",276.3,"0,00","0,00","5,00","2,00","0,07","0,04","5,90",28 (3),"1,00","1,00","1,04","0,00","0,88","1,93","0,00","0,50","10,00","0,00","6,75","162,00","2 471,00",Oviedo,Right
Aron Ruíz,D (C),ESP,"185,00","20,00","16,00","0,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","19,66","246,00","23,18","290,00","0,00","0,00","3,00","0,00","0,00","18,00","1,04","13,00","0,57","2,24","28,00","0,00","44 751,00",120.8,"0,00","0,00","0,00","0,00","0,00","0,00","3,92","13,00","0,00","0,00","0,00","0,00","0,85","1,28","0,00","0,00","2,00","1,00","6,48","49,00","1 126,00",Oviedo,Right
Ignasi Miquel,D (LC),ESP,"188,00","33,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Oviedo,Left
Trilli,"D (RC), WB (R)",ESP,"183,00","23,00","3,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","23,00","0,00","25,00","2,00","0,00","1,00","0,00","1,00","0,00","0,00","1,00","0,00","0,00","0,00","0,00","0,00","44 602,00","0,00","0,00","10,00","0,00","0,00","0,00","0,00",1 (2),"0,00","0,00","0,00","0,00","0,92","4,09","0,00","0,00","0,00","0,00","6,40","0,00","66,00",Oviedo,Right
Fran Manzanara,"D (C), DM, M (C)",ESP,"183,00","29,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Oviedo,Right
Carlos Isaac,"D (RC), WB (R)",ESP,"184,00","28,00","119,00","0,86","0,00","0,27","0,12","4,00","9,00","0,00","0,00","0,00","28,27","950,00","32,89","1 105,00","8,00","0,00","35,00","1,52","51,00","33,00","1,22","41,00","0,61","1,90","64,00","4,00","44 724,00",421.9,"45,00","0,20","218,00","2,00","0,06","0,06","3,12","35,00","1,00","2,00","0,56","1,00","0,86","3,54","0,12","0,44","8,00","0,00","6,71","105,00","3 024,00",Oviedo,Right
